longitude,latitude,time,10u,10v,100u,100v,msl,swvl1,geo500,2t
129.5,36.0,1941-09-25,3.2209091499999998,-0.051345827000000004,4.910736,-0.52793121,101359.905,0.170625085,56081.50750000001,19.5678405
129.5,36.0,1941-10-01,-2.6274338,-10.3099745,-3.8792494349999997,-14.0321885,100831.095,0.14448838,56332.926,18.409454
129.5,36.0,1941-10-07,4.279953,-1.0087509,6.1438292500000005,-1.9625626,101216.78,0.12651935,56078.285,18.341461
129.5,36.0,1941-10-13,6.08390045,-2.73685455,7.847343349999999,-3.6359100499999997,101505.69,0.1623465,55539.637,14.0940245
129.5,36.0,1941-10-19,4.12255855,-0.8666991999999999,5.616020300000001,-1.23957067,102055.7175,0.13058128,55807.7815,12.971466
129.5,36.0,1941-10-25,2.34312435,1.856369,4.48438265,2.06055455,101446.0325,0.11757640999999999,56107.301,17.056549
129.5,36.0,1941-11-01,4.7246704,-2.0269165,6.3404542,-2.9090576,102077.5,0.10596329,55433.052500000005,11.118805
129.5,36.0,1941-11-07,0.30349735,-1.69833375,0.06883244999999993,-1.67432405,102359.5325,0.102638802,55255.75,12.383087
129.5,36.0,1941-11-13,0.938766465,-4.706443800000001,0.69499205,-6.1822435,100869.875,0.116969493,54081.601500000004,10.8165585
129.5,36.0,1941-11-19,0.455474857,-1.2641449,1.178016693,-2.059166,101198.875,0.162161665,55382.2275,14.973175
129.5,36.0,1941-11-25,3.114235,-1.7671508500000002,4.2155837,-2.44990535,102231.4075,0.16299167,54477.9115,9.725372499999999
129.5,36.0,1941-12-01,3.87796015,-2.5164184499999998,5.2436217,-3.5705489999999998,102345.625,0.16509167000000002,54582.936499999996,6.603302
129.5,36.0,1941-12-07,3.58072665,-1.0227051,4.989288350000001,-1.243095415,102547.3425,0.15388209,54742.368,5.88662725
129.5,36.0,1941-12-13,8.3223875,-4.0347595,10.667801,-5.2157669,102541.25,0.14566095,53463.4875,-0.019622804999999965
129.5,36.0,1941-12-19,2.56263735,0.21134185749999998,3.8890152000000002,0.181297295,102460.03,0.146136925,55323.028000000006,7.01602165
129.5,36.0,1941-12-25,-2.6920547499999996,-1.68555455,-4.0092087,-2.23141482,102266.595,0.144365595,54963.2365,8.14773585
129.5,36.0,1942-01-01,7.6416625,-2.9372558499999997,9.6472245,-3.77912905,101736.0325,0.15872172,52364.8565,-1.70739745
129.5,36.0,1942-01-07,6.1628954,-0.05507659999999992,8.3439025,-0.27323909999999996,101325.905,0.15509375,53007.4975,2.18374635
129.5,36.0,1942-01-13,3.7948532,-0.6346283,4.831726,-0.65396115,101879.03,0.15340361000000002,52412.202,-1.4076996099999999
129.5,36.0,1942-01-19,4.6367874,-2.0621109,6.1864547000000005,-2.9540863,102470.0925,0.15303723000000002,53026.194,-3.4926453
129.5,36.0,1942-01-25,3.4542999500000002,-0.08277893000000001,5.939346349999999,-0.82579805,102057.9375,0.15100165999999998,54377.3555,2.431304965
129.5,36.0,1942-02-01,-3.0376892499999997,-4.0258329999999996,-4.39391325,-5.55905135,101486.1575,0.196799475,54166.5545,4.644073499999999
129.5,36.0,1942-02-07,5.8589477500000005,-3.0753478999999997,7.56029535,-4.004898,102047.315,0.17160399999999998,53058.868,-2.6955261999999998
129.5,36.0,1942-02-13,3.7630081,-1.7005615,4.9364548500000005,-2.28246305,102908.4675,0.16835387000000002,52414.8825,-6.790924
129.5,36.0,1942-02-19,6.4499893,-3.56038665,8.626793,-4.70013435,101966.685,0.16380529,52761.877,0.9685363499999999
129.5,36.0,1942-02-25,-0.1919327,-0.27936555,-0.26960755000000003,-0.24444580000000005,102569.625,0.18309554,54659.888,3.7908020000000002
129.5,36.0,1942-03-01,1.9519576500000002,2.4975204499999997,2.9848938,3.7407379,102340.7175,0.16355302,54807.681,5.1164857
129.5,36.0,1942-03-07,0.28188330000000006,-4.3611755,0.13951880000000028,-5.3674469,102793.125,0.172187055,54398.015,2.38626095
129.5,36.0,1942-03-13,0.5898742924999999,2.34495543,1.4186096,3.7357559,101671.595,0.16112016,55937.193,10.4396055
129.5,36.0,1942-03-19,0.14405823,0.6774368,0.21305847499999997,0.8916245,102271.5625,0.168351685,55269.6525,5.5072937500000005
129.5,36.0,1942-03-25,-0.5216293550000001,0.34045415,-0.50330355,0.8458175499999998,101319.0325,0.165503025,54971.185,9.1595765
129.5,36.0,1942-04-01,3.6592941999999997,1.5080718499999999,5.46340185,1.52145384,102066.5925,0.15312925500000002,54815.093,8.1832582
129.5,36.0,1942-04-07,4.0507432,1.1509628399999998,6.2071762,1.06769563,101603.125,0.12563591000000002,54518.024999999994,9.19851685
129.5,36.0,1942-04-13,5.07483665,-0.42261499999999996,7.3851092,-0.7713775000000003,101084.75,0.104313568,54440.793000000005,11.350616500000001
129.5,36.0,1942-04-19,-1.29921722,1.108833315,-1.62962335,1.9546508999999999,102099.31,0.086999945,55965.59,12.75466925
129.5,36.0,1942-04-25,2.3323059,2.7690887,4.519455,4.1208878,102193.5625,0.10319769000000001,56841.8775,15.313019
129.5,36.0,1942-05-01,1.22128295,1.2418595,1.8398056,1.6254730499999999,101609.375,0.12026075250000001,55944.106,13.847565
129.5,36.0,1942-05-07,-4.236496,-9.557373,-5.874504099999999,-12.7337415,100791.905,0.120528548,55059.385,11.835358
129.5,36.0,1942-05-13,2.2403869000000003,-1.5523986799999998,3.12644959,-2.49400335,100572.845,0.0908294925,54719.963,14.65725725
129.5,36.0,1942-05-19,-3.97941585,-6.500999350000001,-5.2073975,-8.265137,100996.4375,0.0897971975,55459.953,11.98342875
129.5,36.0,1942-05-25,-0.5684662,2.78446195,-0.26285552265,4.336044299999999,100779.0625,0.08060323999999999,56289.5785,17.472015499999998
129.5,36.0,1942-06-01,-0.58682253165,-1.169372535,-0.84580231,-1.2732544,101220.31,0.065627665,55991.443,17.2459415
129.5,36.0,1942-06-07,0.07805630000000008,2.3066101,0.8034744,3.7178955,100202.97,0.058827226499999996,56582.377,20.122467
129.5,36.0,1942-06-13,-1.1001816,0.797775288,-1.57514193,1.9225845000000001,100913.155,0.056760667,56636.205,19.820465
129.5,36.0,1942-06-19,0.22763825000000004,1.2661133,0.58283995,1.350173925,100416.44,0.154193945,56819.7825,21.7995915
129.5,36.0,1942-06-25,0.23514556885,2.25790405,1.2534256,2.881111225,100618.7175,0.085566265,56742.115,21.848358500000003
129.5,36.0,1942-07-01,0.3358612000000001,2.3423461999999997,0.79964447,3.47187795,100818.97,0.090333355,56930.912,22.1271055
129.5,36.0,1942-07-07,3.1828689499999996,1.002418503,5.2233885,0.10316466999999996,100624.0,0.10650343749999999,57352.33500000001,26.1272885
129.5,36.0,1942-07-13,1.20915985,2.3971481,2.4631958000000003,2.93238823,100912.94,0.068180995,57525.619000000006,27.2682195
129.5,36.0,1942-07-19,3.4503554999999997,2.5601273,5.6502608500000004,3.21636964,100893.75,0.057570182,57437.633,27.1616515
129.5,36.0,1942-07-25,1.61849975,4.22021485,3.23420715,5.5265503,100615.7175,0.0601483785,57350.041,26.822296
129.5,36.0,1942-08-01,1.93102265,1.9321594091999998,3.6311950499999996,2.41236123,100687.1875,0.0543982965,57542.713,28.596954500000002
129.5,36.0,1942-08-07,-0.45555877999999994,-3.9171829,-0.6223755,-4.9552,100122.375,0.052343956999999997,56854.834,24.348236
129.5,36.0,1942-08-13,1.194648725,3.59218595,2.4746550999999997,4.64995585,100648.4675,0.057341419000000005,57555.1445,28.370758
129.5,36.0,1942-08-19,-2.87121585,-3.20882415,-3.561264,-3.8611984999999995,101464.815,0.085027175,57697.730500000005,24.685028
129.5,36.0,1942-08-25,-3.05110165,-2.29737092,-4.3632889,-2.79355625,101374.6875,0.08826058,57599.643500000006,24.7209775
129.5,36.0,1942-09-01,-0.32764435000000003,-3.7037124500000003,-0.60451507,-4.520462,100927.345,0.18476193000000002,57130.924,22.222076
129.5,36.0,1942-09-07,-0.7982024999999999,0.8786011,-0.99571992,1.6148987,100834.125,0.151368,57100.269499999995,22.910857999999998
129.5,36.0,1942-09-13,-0.6223754925,-1.1605377,-0.644233685,-1.31955715,101287.25,0.19561815500000002,57392.96,22.4405215
129.5,36.0,1942-09-19,-2.2575531,-2.0118637,-2.8557586500000003,-2.35961915,100816.31,0.17358636500000002,56457.732,20.563751500000002
129.5,36.0,1942-09-25,1.0181121999999998,-1.590744,1.14331055,-1.96604915,101567.22,0.144219555,56554.67,19.3957825
129.5,36.0,1942-10-01,1.09501647,0.3624649000000001,1.4306717,0.7067260999999999,101476.5925,0.11534519,56675.079,19.989410499999998
129.5,36.0,1942-10-07,-3.6043624999999997,-5.52322385,-4.7034379,-6.84190375,102036.7175,0.095996163,56258.655,16.9037175
129.5,36.0,1942-10-13,0.5212097,-2.6226425499999997,0.31376649999999984,-3.40040585,101308.7175,0.0860224675,55144.9875,16.209992
129.5,36.0,1942-10-19,2.0509415,1.03725435,2.39344785,1.09915925,101930.7175,0.08043020249999999,55938.498,16.2727355
129.5,36.0,1942-10-25,3.4722443000000003,-1.111206035,4.6384811500000005,-1.6077270499999998,102476.5325,0.071956573,55551.206999999995,9.45071425
129.5,36.0,1942-11-01,5.868042,0.81555175,8.072707999999999,0.7247619500000001,101035.3125,0.07193738,54462.484,12.2639465
129.5,36.0,1942-11-07,7.3311083,-1.96056365,9.485397500000001,-2.68055725,101720.0925,0.070829695,54442.8015,9.99880965
129.5,36.0,1942-11-13,1.8013458500000001,2.8665543500000004,2.80733495,5.15190885,101883.8125,0.06687857,55501.528,13.8368225
129.5,36.0,1942-11-19,2.6242065500000002,-1.25292205,3.45130155,-1.6505966,102386.315,0.06516464999999999,54814.345,7.7052306
129.5,36.0,1942-11-25,2.07230375,-1.65674593,2.45634467,-1.8746261,102463.2175,0.065956265,54465.93949999999,4.784576400000001
129.5,36.0,1942-12-01,4.21138,-2.4415207,5.62940225,-3.4084624999999997,101815.28,0.06494785,54047.435,5.7569885
129.5,36.0,1942-12-07,4.43203735,-1.4552383500000001,5.85903175,-1.9182434000000002,102093.7175,0.07245112000000001,53383.2305,3.97329715
129.5,36.0,1942-12-13,3.21976475,-1.65018465,3.81923675,-2.05481725,102534.375,0.074838692,54152.922000000006,3.27700805
129.5,36.0,1942-12-19,-0.32814025,-4.98804485,-0.5849304500000001,-6.0722885,101886.1575,0.07696718999999999,53692.676999999996,4.31057735
129.5,36.0,1942-12-25,3.1408614999999998,0.6074676499999999,4.169441300000001,1.1433258,101731.81,0.074419025,53398.42,3.91030885
129.5,36.0,1943-01-01,5.7989654999999996,-2.1099090499999997,7.464347699999999,-2.7856674,102130.905,0.07368008000000001,52860.574,-0.3941803
129.5,36.0,1943-01-07,5.7432022,-2.83630365,7.2736815,-3.63659665,102496.97,0.074551235,52889.763999999996,-1.8157654
129.5,36.0,1943-01-13,6.826172,-1.5438461,8.8744585,-2.30687715,102784.6575,0.07490912799999999,54195.287,-5.64714055
129.5,36.0,1943-01-19,1.9597015,-1.00970458,2.0236663999999998,-1.18344878,102567.2825,0.07528365000000001,53899.3065,1.7362366200000001
129.5,36.0,1943-01-25,2.15218355,-0.534065245,2.48488615,-0.68378449,102361.375,0.0750966575,53812.032999999996,-1.2153015
129.5,36.0,1943-02-01,2.5484085,0.31150049999999996,2.9265213,0.59024045,102424.9075,0.075805572,54073.0705,-1.7909239500000003
129.5,36.0,1943-02-07,7.99555965,-4.97933195,10.922287,-6.6335907,101717.8125,0.14795824,52514.555,-3.8803406
129.5,36.0,1943-02-13,2.11280062,-2.2193679499999996,2.36581412,-2.78206635,102939.1575,0.12598261500000002,53604.045,-0.54708861
129.5,36.0,1943-02-19,5.4980927,-3.11337275,7.343956199999999,-4.2803267499999995,102058.78,0.11719786500000001,53273.8125,-1.3324889949999998
129.5,36.0,1943-02-25,5.10858925,-1.9893493500000001,6.912323000000001,-2.8965378,102251.155,0.11003299,52847.545,0.5110168500000001
129.5,36.0,1943-03-01,-0.25342560000000014,-5.06694025,-0.5120697000000001,-6.88003565,101571.315,0.10276826,54677.948000000004,6.15823365
129.5,36.0,1943-03-07,0.21463775499999999,2.445297315,0.358840955,3.6192627,101702.2825,0.1543946,54088.673500000004,6.00247185
129.5,36.0,1943-03-13,1.609642025,0.6877136500000001,1.73626708,0.7438811999999999,102025.78,0.110420075,54497.212499999994,5.79714965
129.5,36.0,1943-03-19,1.52243805,0.607841485,2.96398165,-0.23376464999999996,101149.6575,0.14888802499999998,55224.0525,10.570587499999998
129.5,36.0,1943-03-25,-3.59508525,-3.14366915,-4.762245249999999,-3.8208847,102249.405,0.107039435,55399.018,6.77749635
129.5,36.0,1943-04-01,-0.10089875000000004,1.2394104000000001,-0.03922274999999997,1.4458313,102692.655,0.11893807,55711.008,8.028412
129.5,36.0,1943-04-07,-0.72275545,-3.9599229000000005,-0.9784393,-5.2170182,101646.7175,0.18690274,55458.3315,8.0036925
129.5,36.0,1943-04-13,5.8519365,1.5062714,8.319687,1.35799413,101188.625,0.128503185,53559.555,8.31741335
129.5,36.0,1943-04-19,4.44717405,-0.08580018,6.726097,-1.251716595,101382.0,0.107517765,54792.3495,11.3504335
129.5,36.0,1943-04-25,1.7279434500000002,2.26944735,3.6700974,3.11229705,101394.56,0.08817786999999999,55550.216499999995,13.7134705
